chr,pop,obs_mean,boot_mean,95_lower_ci,95_upper_ci
1,ASW,6.11702127659574,6.14151063829787,5.21276595744681,7.11702127659574
2,ASW,4.87755102040816,4.8805,4.15868398348363,5.79034207468168
3,ASW,4.25510204081633,4.23644897959184,3.54847469619663,5.00707915447203
4,ASW,3.55208333333333,3.53865625,2.8812481761422,4.29166666666667
5,ASW,4.01086956521739,4.01308695652174,3.25178123671543,4.82994475256457
6,ASW,3.39795918367347,3.39358163265306,2.83673469387755,3.98979591836735
7,ASW,3.22,3.21389,2.72,3.78
8,ASW,2.65625,2.65921875,2.15625,3.25
9,ASW,3.25531914893617,3.25373404255319,2.74468085106383,3.739226019745
10,ASW,3.1,3.11395,2.62,3.64149210215023
11,ASW,2.96,2.94562,2.53,3.51731909278907
12,ASW,3.11458333333333,3.11307291666667,2.63541666666667,3.68046258549893
13,ASW,2.3265306122449,2.34165306122449,1.83673469387755,2.90101739000563
14,ASW,1.60869565217391,1.60415217391304,1.23913043478261,2.03226442366999
15,ASW,1.64893617021277,1.65124468085106,1.26595744680851,2.02979122133634
16,ASW,1.125,1.12915625,0.841917576473268,1.44791666666667
17,ASW,1.45833333333333,1.45810416666667,1.13541666666667,1.82291666666667
18,ASW,1.08163265306122,1.08209183673469,0.836734693877551,1.37764255118293
19,ASW,0.697916666666667,0.69734375,0.510416666666667,0.885416666666667
20,ASW,0.84375,0.84346875,0.645833333333333,1.08333333333333
21,ASW,0.627659574468085,0.632127659574468,0.414893617021277,0.829787234042553
22,ASW,0.697916666666667,0.702114583333333,0.5,0.916666666666667
