generation,obs_mean,obs_std,obs_var,obs_sem,obs_ci_lower,obs_ci_upper
0,0.0,0.0,0.0,0.0,0.0,0.0
1,1.25655,0.045317674991847044,0.002053691666666679,0.014330707123748914,1.2284618140374521,1.284638185962548
2,2.49625,0.07613848858786498,0.005797069444444446,0.02407710415403905,2.4490588758580834,2.5434411241419164
3,3.7479500000000003,0.09116726081463912,0.008311469444444435,0.028829619221287735,3.6914439463262765,3.804456053673724
4,5.00455,0.0795171015847812,0.006322969444444413,0.02514551539428932,4.955264789827193,5.0538352101728075
5,6.2276,0.08963902919797574,0.008035155555555546,0.028346349951193974,6.17204115409566,6.28315884590434
6,7.4871,0.12403668812089434,0.015385100000000013,0.039223844788597674,7.410221264214348,7.563978735785652
7,8.72735,0.1351069637978252,0.018253891666666848,0.04272457333510406,8.643609836263195,8.811090163736804
8,9.96795,0.1659722952115129,0.027546802777777588,0.05248504813542385,9.86507930565457,10.07082069434543
9,11.2224,0.2043297715839649,0.041750655555555266,0.06461474719872799,11.095755095490494,11.349044904509507
10,12.45355,0.23392466142376314,0.05472074722222222,0.0739734730982818,12.308561992727368,12.598538007272632
