chrom_number,length_chrom_bp,expected_switches_g14_p0.75,expected_switches_g14_p0.85
1,248956422,9.62624987823414,6.545849917199215
2,242193529,9.237230708770475,6.2813168819639245
3,198295559,7.699202026704779,5.23545737815925
4,190214555,8.314977122374474,5.6541844432146435
5,181538259,7.108781825558581,4.833971641379835
6,170805979,6.786087823426615,4.614539719930099
7,159345973,6.792214644115624,4.618705957998625
8,145138636,7.061676080258358,4.801939734575684
9,138394717,7.652137336095904,5.203453388545215
10,133797422,6.197492131589991,4.214294649481194
11,135086622,5.635520918800603,3.8321542247844125
12,133275309,5.655101760041957,3.845469196828531
13,114364328,4.34567015355388,2.955055704416639
14,107043718,4.185304918740736,2.8460073447437
15,101991189,4.763134537489652,3.2389314854929636
16,90338345,4.990862528154954,3.3937865191453698
17,83257441,6.9875880618871475,4.751559882083262
18,80373285,8.280684442431113,5.630865420853156
19,58617616,4.157429050650189,2.8270517544421288
20,64444167,3.6522089687583272,2.483502098755663
21,46709983,3.027393013748791,2.0586272493491777
22,50818468,3.166804552983385,2.1534270960287016
