chrom_number,full_length_chrom_bp,removed_bp,filtered_length_chrom_bp
1,248956422,69770177,179186245
2,242193529,46203029,195990500
3,198295559,35028091,163267468
4,190214555,33800073,156414482
5,181538259,35180560,146357699
6,170805979,31540776,139265203
7,159345973,37697915,121648058
8,145138636,26252797,118885839
9,138394717,48449484,89945233
10,133797422,27688176,106109246
11,135086622,27960824,107125798
12,133275309,27147018,106128291
13,114364328,32887485,81476843
14,107043718,35284453,71759265
15,101991189,39606603,62384586
16,90338345,32736110,57602235
17,83257441,26403293,56854148
18,80373285,17112084,63261201
19,58617616,21431979,37185637
20,64444167,15175193,49268974
21,46709983,19497977,27212006
22,50818468,25593140,25225328
