chrom_number,full_length_chrom_bp,filtered_length_chrom_bp,empirical_switches,theoretical_switches_p0.75,theoretical_switches_p0.85
1,248956422,179186245,6.142 (5.213–7.117),9.626,6.546
2,242193529,195990500,4.880 (4.159–5.790),9.237,6.281
3,198295559,163267468,4.236 (3.548–5.007),7.699,5.235
4,190214555,156414482,3.539 (2.881–4.292),8.315,5.654
5,181538259,146357699,4.013 (3.252–4.830),7.109,4.834
6,170805979,139265203,3.394 (2.837–3.990),6.786,4.615
7,159345973,121648058,3.214 (2.720–3.780),6.792,4.619
8,145138636,118885839,2.659 (2.156–3.250),7.062,4.802
9,138394717,89945233,3.254 (2.745–3.739),7.652,5.203
10,133797422,106109246,3.114 (2.620–3.641),6.197,4.214
11,135086622,107125798,2.946 (2.530–3.517),5.636,3.832
12,133275309,106128291,3.113 (2.635–3.680),5.655,3.845
13,114364328,81476843,2.342 (1.837–2.901),4.346,2.955
14,107043718,71759265,1.604 (1.239–2.032),4.185,2.846
15,101991189,62384586,1.651 (1.266–2.030),4.763,3.239
16,90338345,57602235,1.129 (0.842–1.448),4.991,3.394
17,83257441,56854148,1.458 (1.135–1.823),6.988,4.752
18,80373285,63261201,1.082 (0.837–1.378),8.281,5.631
19,58617616,37185637,0.697 (0.510–0.885),4.157,2.827
20,64444167,49268974,0.843 (0.646–1.083),3.652,2.484
21,46709983,27212006,0.632 (0.415–0.830),3.027,2.059
22,50818468,25225328,0.702 (0.500–0.917),3.167,2.153
