chrom_number,full_length_chrom_bp,removed_bp,filtered_length_chrom_bp,expected_switches_g14_p0.75,expected_switches_g14_p0.85
1,248956422,69770177,179186245,9.62624987823414,6.545849917199215
2,242193529,46203029,195990500,9.237230708770475,6.2813168819639245
3,198295559,35028091,163267468,7.699202026704779,5.23545737815925
4,190214555,33800073,156414482,8.314977122374474,5.6541844432146435
5,181538259,35180560,146357699,7.108781825558581,4.833971641379835
6,170805979,31540776,139265203,6.786087823426615,4.614539719930099
7,159345973,37697915,121648058,6.792214644115624,4.618705957998625
8,145138636,26252797,118885839,7.061676080258358,4.801939734575684
9,138394717,48449484,89945233,7.652137336095904,5.203453388545215
10,133797422,27688176,106109246,6.197492131589991,4.214294649481194
11,135086622,27960824,107125798,5.635520918800603,3.8321542247844125
12,133275309,27147018,106128291,5.655101760041957,3.845469196828531
13,114364328,32887485,81476843,4.34567015355388,2.955055704416639
14,107043718,35284453,71759265,4.185304918740736,2.8460073447437
15,101991189,39606603,62384586,4.763134537489652,3.2389314854929636
16,90338345,32736110,57602235,4.990862528154954,3.3937865191453698
17,83257441,26403293,56854148,6.9875880618871475,4.751559882083262
18,80373285,17112084,63261201,8.280684442431113,5.630865420853156
19,58617616,21431979,37185637,4.157429050650189,2.8270517544421288
20,64444167,15175193,49268974,3.6522089687583272,2.483502098755663
21,46709983,19497977,27212006,3.027393013748791,2.0586272493491777
22,50818468,25593140,25225328,3.166804552983385,2.1534270960287016
