Chromosome	Position(bp)	Rate(cM/Mb)	Map(cM)
chr7	14807	0.800759239942	0
chr7	40844	0.721686016519	0.0208493683304
chr7	40851	0.585666955787	0.0208544201325
chr7	47450	0.585666955787	0.0247192363737
chr7	47912	0.597020435823	0.0249898145073
chr7	48503	0.597020435823	0.0253426535849
chr7	49470	0.597020435823	0.0259199723463
chr7	49578	2.71401274897	0.0259844505534
chr7	49671	12.0480834214	0.026236853739
chr7	49705	12.0480834214	0.0266464885754
chr7	50943	8.35658436423	0.0415620158511
chr7	50980	4.69693418179	0.0418712094725
chr7	51065	4.06571301836	0.042270448878
chr7	51176	3.732914322	0.042721743023
chr7	51731	3.2152282929	0.0447935104717
chr7	51839	2.86329036953	0.0451407551274
chr7	51841	2.86295315311	0.0451464817081
chr7	53653	1.9052023777	0.0503341528215
chr7	53664	1.13540231148	0.0503551100477
chr7	58664	1.13540231148	0.0560321216051
chr7	58900	4.83318128746	0.0563000765506
chr7	59117	11.2679699167	0.05734887689
chr7	59211	11.2679699167	0.0584080660621
chr7	59212	13.2659632549	0.0584193340321
chr7	59323	13.2659632549	0.0598918559533
chr7	60391	6.66139173994	0.0740599047096
chr7	60436	2.93468748238	0.0743596673379
chr7	60510	2.43193473294	0.0745768342115
chr7	60653	1.76831877022	0.0749246008784
chr7	60727	1.49552189938	0.0750554564674
chr7	60739	0.896124191698	0.0750734027301
chr7	65133	0.896124191698	0.0790109724285
chr7	65253	2.42669373689	0.0791185073315
chr7	65324	2.78916418894	0.0792908025868
chr7	65333	2.78916418894	0.0793159050645
chr7	66432	2.78916418894	0.0823811965081
chr7	66507	2.89106359377	0.0825903838223
chr7	66508	3.40730319857	0.0825932748859
chr7	66532	3.40730319857	0.0826750501627
chr7	66666	3.40730319857	0.0831316287913
chr7	66751	4.31171087681	0.0834212495632
chr7	66762	4.40836614859	0.0834686783828
chr7	66777	4.40836614859	0.083534803875
chr7	68727	2.06980070215	0.0921311178648
chr7	68733	1.81632041504	0.092143536669
chr7	72388	1.40635281112	0.0987821877859
chr7	72396	1.14762555333	0.0987934386084
chr7	75019	1.14762555333	0.101803660435
chr7	75023	1.23611646073	0.101808250937
chr7	75025	1.3550681114	0.10181072317
chr7	75070	1.37056103803	0.101871701235
chr7	75071	1.61472345251	0.101873071796
chr7	75188	2.63564028322	0.10206199444
chr7	75338	2.63564028322	0.102457340482
chr7	75602	3.82640145739	0.103153149517
chr7	75637	4.7637991987	0.103287073568
chr7	75719	4.7637991987	0.103677705102
chr7	75860	4.7637991987	0.10434940079
chr7	75873	23.1829290251	0.104411330179
chr7	75921	23.1829290251	0.105524110772
chr7	76887	20.1447368097	0.127918820211
chr7	77324	16.2384511638	0.136722070196
chr7	77386	12.3062984569	0.137728854169
chr7	77508	11.7390001038	0.13923022258
chr7	78553	6.66368762955	0.151497477689
chr7	79854	4.66955082697	0.160166935295
chr7	80062	1.93835314703	0.161138201867
chr7	82447	1.73318088776	0.165761174122
chr7	82466	1.3353994406	0.165794104559
chr7	82613	1.1385816929	0.165990408277
chr7	82870	0.763712855574	0.166283023772
chr7	82872	0.617021936683	0.166284551198
chr7	83896	0.616422651244	0.166916381661
chr7	85881	0.467815498232	0.168139980624
chr7	93620	0.467815498232	0.171760404765
chr7	93646	0.494594293941	0.171772567968
chr7	93694	0.494594293941	0.171796308494
chr7	96186	0.49459429394	0.173028837474
chr7	96200	0.519034063099	0.173035761794
chr7	96224	0.519034063099	0.173048218612
chr7	98976	0.519034063099	0.174476600353
chr7	98994	0.829754607931	0.174485942967
chr7	98995	1.08367878227	0.174486772721
chr7	99089	1.14030182741	0.174588638527
chr7	99098	1.14030182741	0.174598901243
chr7	100277	1.13066956235	0.175943317098
chr7	100341	1.06201602234	0.17601567995
chr7	100530	0.846489389407	0.176216400978
chr7	101570	0.792744772685	0.177096749943
chr7	102249	0.699763153067	0.177635023644
chr7	102263	0.662066476511	0.177644820328
chr7	102269	0.551091809614	0.177648792727
chr7	102354	0.506371752777	0.17769563553
chr7	106729	0.506371752777	0.179911011949
chr7	106787	1.09667278893	0.17994038151
chr7	106867	1.09667278893	0.180028115334
chr7	107659	1.09667278893	0.180896680182
chr7	107827	1.54609748	0.181080921211
chr7	107947	1.54609748	0.181266452908
chr7	108087	1.54609748	0.181482906556
chr7	108157	1.80516056752	0.181591133379
chr7	108168	1.80516056752	0.181610990146
chr7	114290	1.80516056752	0.19266218314
chr7	114334	6.86057813481	0.192741610205
chr7	114434	6.86057813481	0.193427668018
chr7	114688	6.86057813481	0.195170254865
chr7	114741	7.49560929608	0.195533865506
chr7	114823	7.49560929608	0.196148505468
chr7	114824	7.49560929608	0.196156001077
chr7	114843	9.30153030118	0.196298417654
chr7	114847	20.0946195469	0.196335623775
chr7	114923	20.9389147609	0.197862814861
chr7	114946	20.9389147609	0.1983444099
chr7	116077	9.65560203883	0.222026322495
chr7	116155	7.89239593393	0.222779459454
chr7	118133	6.09739132853	0.238390618611
chr7	119305	4.36267733652	0.245536761248
chr7	123423	4.36267733652	0.26350226652
chr7	123469	4.54397494878	0.263702949677
chr7	123480	4.54397494878	0.263752933402
chr7	123513	27.2516853737	0.263902884575
chr7	123595	27.2516853737	0.266137522776
chr7	125695	23.9914410333	0.323366062061
chr7	125699	21.724229801	0.323462027825
chr7	126275	10.1064598197	0.33597518419
chr7	128205	7.58035056626	0.355480651642
chr7	128496	5.96492522776	0.357686533657
chr7	130849	5.96492522776	0.371722002718
chr7	131136	6.35457887046	0.373433936258
chr7	131211	8.08586567092	0.373910529673
chr7	131215	8.72233065983	0.373942873136
chr7	131501	8.72233065982	0.376437459705
chr7	137956	8.63773905503	0.432740104114
chr7	138681	7.80103660171	0.439002464929
chr7	138981	6.18070526875	0.441342775909
chr7	139108	4.87395016731	0.442127725479
chr7	139112	4.63537797381	0.442147221279
chr7	139144	4.55578384764	0.442295553374
chr7	140167	1.38787965098	0.446956120251
chr7	140646	1.10428566744	0.447620914603
chr7	140788	0.987511016114	0.447777723168
chr7	140805	0.903130830258	0.447794510855
chr7	140862	0.882123899919	0.447845989313
chr7	140980	0.753761709539	0.447950079933
chr7	141061	0.697860367387	0.448011134631
chr7	152694	0.697860367387	0.456129344285
chr7	152852	0.73984386177	0.456239606223
chr7	152868	0.73984386177	0.456251443725
chr7	153024	0.739843861769	0.456366859367
chr7	153151	1.91407280796	0.456460819538
chr7	153153	1.91407280796	0.456464647684
chr7	153193	2.31937931598	0.456541210596
chr7	153206	10.4812016249	0.456571362527
chr7	153292	10.4812016249	0.457472745867
chr7	156335	10.2875289877	0.489367042411
chr7	156393	9.3393361108	0.489963719092
chr7	156895	8.0458624588	0.49465206582
chr7	156930	2.67831806887	0.494933671006
chr7	159779	2.67831806887	0.502564199184
chr7	159796	11.2051486651	0.502609730592
chr7	159813	11.2051486651	0.502800218119
chr7	159825	11.2051486651	0.502934679903
chr7	159953	11.3559544541	0.504368938932
chr7	159959	11.3559544541	0.504437074659
chr7	160217	10.273325634	0.507366910908
chr7	160218	9.24057665095	0.507377184233
chr7	160267	7.22227245471	0.507829972489
chr7	160356	2.46151588842	0.508472754738
chr7	160493	2.14895797627	0.508809982415
chr7	161295	2.0877333831	0.510533446712
chr7	161379	1.46351562836	0.510708816316
chr7	161380	1.22102753687	0.510710279831
chr7	161839	1.20348218212	0.511270731471
chr7	162190	0.684063343628	0.511693153717
chr7	165692	0.684063343628	0.514088743546
chr7	165773	0.876664035442	0.514144152677
chr7	165968	0.876664035442	0.514315102164
chr7	166359	0.876664035441	0.514657877802
chr7	166590	1.277517498	0.514860387194
chr7	166598	1.277517498	0.514870607334
chr7	167675	1.277517498	0.516246493679
chr7	167758	1.94242420958	0.516352527632
chr7	167777	1.94242420958	0.516389433692
chr7	169102	1.94242420958	0.518963145769
chr7	169178	3.69742595437	0.519110770009
chr7	169248	5.00845656473	0.519369589826
chr7	169328	5.00845656473	0.519770266351
chr7	173598	2.0368012319	0.541156375883
chr7	173628	1.7303044464	0.541217479919
chr7	173773	0.931566556654	0.541468374064
chr7	180854	0.931566556653	0.548064796852
chr7	181004	1.00066199851	0.548204531835
chr7	181042	1.00066199851	0.548242556991
chr7	185768	1.0006619985	0.552971685596
chr7	185860	10.3108606327	0.5530637465
chr7	185914	10.3108606327	0.553620532974
chr7	186907	5.08625218333	0.563859217583
chr7	186908	3.75600777384	0.563864303835
chr7	186978	3.44536918129	0.564127224379
chr7	187123	3.0191837786	0.56462680291
chr7	187170	1.59082245704	0.564768704548
chr7	193717	1.59082245704	0.575183819174
chr7	194080	1.95343558513	0.575761287726
chr7	194152	3.81534218671	0.575901935088
chr7	194199	3.8153421867	0.576081256171
chr7	196779	2.83941286752	0.585924839013
chr7	196781	2.44261804263	0.585930517838
chr7	203292	2.44261804263	0.601834403914
chr7	203325	2.46750999404	0.601915010309
chr7	203431	2.62871200301	0.602176566369
chr7	203469	2.89978484615	0.602276457425
chr7	203471	4.32836089878	0.602282256994
chr7	203515	4.32836089878	0.602472704874
chr7	203916	4.32836089878	0.604208377594
chr7	204200	4.61528386105	0.60543763209
chr7	204234	5.15932954465	0.605594551741
chr7	204256	5.15932954465	0.605708056991
chr7	206496	5.15932954465	0.617264955171
chr7	206576	11.4490940917	0.617677701535
chr7	206643	12.8509925369	0.618444790839
chr7	206657	12.8509925369	0.618624704734
chr7	206863	12.8509925369	0.621272009197
chr7	207042	17.847227491	0.623572336861
chr7	207047	17.847227491	0.623661572998
chr7	207437	9.54914251475	0.63062199172
chr7	207444	5.57238323784	0.630688835717
chr7	207464	5.10514386992	0.630800283382
chr7	207488	4.52617787902	0.630922806835
chr7	207535	3.80387508108	0.631135537195
chr7	207585	3.70745939751	0.631325730949
chr7	210956	3.7074593975	0.643823576578
chr7	210999	3.95047134893	0.643982997332
chr7	211004	3.95047134893	0.644002749689
chr7	212112	3.95047134893	0.648379871944
chr7	212168	7.75838155374	0.648601098339
chr7	212365	7.75838155373	0.650129499505
chr7	212449	7.75838155373	0.650781203556
chr7	212511	11.915613094	0.651262223212
chr7	212568	12.0626097998	0.651941413159
chr7	212615	12.0626097998	0.652508355819
chr7	214626	11.8165135939	0.676766264127
chr7	214862	6.56282814368	0.679554961335
chr7	216618	6.32341510545	0.691079287555
chr7	216697	2.49214105687	0.691578837348
chr7	216852	2.42660278268	0.691965119212
chr7	216869	1.84531389998	0.69200637146
chr7	217023	1.55421671373	0.6922905498
chr7	217619	0.939618555507	0.693216862962
chr7	217634	0.875810453881	0.69323095724
chr7	217648	0.693091930278	0.693243218586
chr7	223347	0.693091930277	0.697193149497
chr7	223591	1.88575395474	0.697362263928
chr7	223592	2.24333766278	0.697364149682
chr7	223607	3.63416060966	0.697397799747
chr7	223681	3.63416060966	0.697666727632
chr7	223867	3.63416060966	0.698342681505
chr7	223952	7.49005945717	0.698651585157
chr7	223979	7.49005945717	0.698853816762
chr7	227731	2.94801212212	0.726956519846
